"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
166,2991.58430200277,-1884.693835145,780,2987.19981158911,-1879.90172500705,-4.38449041366675,4.79211013794384,6.49523485038992
167,4301.87474934899,312.996642209129,492,4297.2220370814,316.480849372226,-4.65271226759069,3.48420716309704,5.81269567415718
168,1253.291501506,-5576.90388229555,747,1245.47876332285,-5576.89696259267,-7.81273818314889,0.00691970287789445,7.81274124752129
169,-3070.44262954781,-3469.23263022748,128,-3073.80573475078,-3472.36520156955,-3.36310520297275,-3.13257134207424,4.59602870089463
170,-3222.58699448974,-2514.5238208368,784,-3228.80398228931,-2517.11674266544,-6.21698779957023,-2.59292182864783,6.7360359937788
171,3984.82951941564,-2387.86832269993,78,3984.35520408697,-2386.22933363291,-0.474315328677221,1.6389890670248,1.70624154000686
172,1959.13801907568,-166.390462281106,758,1960.1929047505,-162.865582830254,1.05488567482189,3.52487945085295,3.67934218712936
173,-4452.57922389142,242.778033131258,56,-4452.14200267672,233.815117351676,0.437221214697274,-8.96291577958175,8.97357351685809
174,3746.76706157268,-378.257961247437,415,3845.43084888577,-350.011615043444,98.6637873130912,28.2463462039931,102.627476831688
175,2076.72602122027,-7059.46500320596,469,1766.1580615356,-6539.03423249849,-310.567959684668,520.430770707465,606.053334849222
176,4271.06225375261,-3240.33739810753,393,4262.77798207284,-3236.99749234438,-8.28427167977588,3.33990576315182,8.93219613371043
177,-295.008643644506,3709.98484412463,54,-290.152022475533,3709.22026771555,4.85662116897254,-0.764576409087567,4.91643633786154
178,1697.81760232163,4090.42517001871,495,1700.14028943586,4093.84554864449,2.32268711423012,3.42037862577308,4.13447280487561
179,-741.622939570333,-6157.62453336544,509,-753.998629924163,-6165.31623565559,-12.3756903538298,-7.69170229015617,14.5712043378119
180,2707.24636204463,-2335.46703419412,599,2809.81292829502,-2260.50853285166,102.566566250389,74.9585013424635,127.038094428024
181,-4419.08699178409,1266.60178236359,146,-4422.86455591944,1265.4145648581,-3.77756413535735,-1.18721750548912,3.95973183461683
182,1238.96622691317,2732.13262271122,10,1247.77503365675,2727.56469997155,8.80880674358104,-4.56792273966994,9.92275135238975
183,-1421.33372984545,3396.67212940378,51,-1688.00658823965,3187.39283433584,-266.6728583942,-209.279295067946,338.987074603545
184,-4100.88416319699,-852.704329972689,346,-4100.81264158939,-861.505831920584,0.0715216076005163,-8.80150194789474,8.80179253783845
185,-4948.20260846643,-1681.04773018634,537,-4945.26605688263,-1688.16315212606,2.93655158380079,-7.115421939724,7.69756874504077
186,-2131.08142506048,-6585.31632148853,12,-2140.94591160224,-6588.9781122609,-9.86448654175956,-3.66179077237484,10.5222053958856
187,4270.53801611497,-3592.545042939,533,4320.75880800392,-3598.0860023508,50.2207918889435,-5.54095941180185,50.5255397710485
188,-1719.15707563908,2943.1753131691,554,-1697.19166957527,2945.71038169244,21.9654060638063,2.53506852333385,22.1112106399875
189,3487.9533447807,-166.882955323218,742,3490.65708229759,-162.865582830254,2.70373751688248,4.01737249296423,4.84246613900639
190,-2775.71872081383,-3353.90726378873,117,-2884.93749978717,-3123.33211081613,-109.218778973345,230.575152972601,255.134558319266
191,-4960.68625475181,4.10640378711867,43,-4956.74740855215,-3.84886220739372,3.93884619965957,-7.95526599451239,8.8769795779881
192,-3852.59811351249,-2127.08614124804,196,-3851.66731036079,-2135.36179965389,0.93080315169891,-8.27565840584248,8.32783984940896
193,-92.8996350471351,-1327.57639264113,140,-87.5061655084928,-1345.44480479087,5.39346953864231,-17.8684121497386,18.6646635763195
194,-3542.46300912859,-5493.20447414469,145,-3550.85589661936,-5499.97190640688,-8.39288749076968,-6.76743226219332,10.7814052820629
195,1266.48150263989,2763.54258969553,617,1270.73773699579,2767.17536323139,4.25623435589409,3.63277353585954,5.59576397421609
196,1153.63218723961,-5629.54979454947,604,1143.29473346411,-5625.69270718813,-10.3374537755001,3.85708736133347,11.0335884223384
197,5643.69885965676,-1599.01637962444,727,5643.41052033273,-1584.83098710038,-0.288339324029039,14.1853925240598,14.1883226854845
198,-1024.84742006399,1256.21812367946,62,-1124.84628884967,1322.24725562223,-99.9988687856853,66.029131942767,119.831631982261
199,1142.35258298887,981.592803506986,570,1152.47981479973,979.528908287036,10.1272318108599,-2.06389521994936,10.3353997324643
200,4261.63603965402,2797.64208198461,374,4265.07425240675,2802.19348582343,3.43821275272148,4.55140383881917,5.70408483781531
201,1253.65587568352,568.53727288613,216,1252.94164190803,571.366856435586,-0.714233775488765,2.82958354945583,2.91833393383965
202,3981.50487233256,-3564.0410664767,173,3978.04046066873,-3560.19754184138,-3.46441166383647,3.84352463531877,5.17444004688705
203,-1808.25906298224,1476.55738402033,538,-1798.80163185052,1474.94923282685,9.45743113171693,-1.60815119348763,9.59318267689531
